Author,Title,State,District,Ban Status,Year,AI_Theme,AI_Theme_Confidence,AI_Theme_Reason
"Foley, Jessie Ann",The Carnival at Bray,Florida,St. John's County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,South Carolina,Beaufort County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Tennessee,Wilson County Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Utah,Alpine School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Utah,Canyons School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Utah,Davis School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Utah,Granite School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Utah,Nebo School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Utah,Washington County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Virginia,Spotsylvania County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Foley, Jessie Ann",The Carnival at Bray,Wisconsin,School District of Somerset,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Folman, Ari",Anne Frank's Diary: The Graphic Adaptation,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Folman, Ari",Anne Frank's Diary: The Graphic Adaptation,Florida,Indian River County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Folman, Ari",Anne Frank's Diary: The Graphic Adaptation,Florida,The School District of Palm Beach County,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Folman, Ari",Anne Frank's Diary: The Graphic Adaptation,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Folman, Ari",Anne Frank's Diary: The Graphic Adaptation,Texas,Keller Independent School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Ford, J. R.",Calvin,Florida,Escambia County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Ford, J. R.",Calvin,Florida,The School District of Palm Beach County,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Forman, Gayle",Frankie & Bug,Florida,The School District of Palm Beach County,Banned in libraries,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Forman, Gayle",I Have Lost My Way,Florida,Clay County School District,Banned pending investigation,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Forman, Gayle",If I Stay,Texas,Frisco Independent School District,Banned in libraries,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Forman, Gayle",Where She Went,Florida,Clay County School District,Banned pending investigation,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Forte, Virginia",The History of Western Painting,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Fowley-Doyle, Moïra",All the Bad Apples,Texas,Texarkana Independent School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Fox, James Alan",Overkill: Mass Murder and Serial Killing Exposed,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Fox, Mem",Guess What?,Florida,Duval County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",America,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",America,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",America,Virginia,Spotsylvania County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Dime,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Dime,Florida,Escambia County Public Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Dime,Georgia,Forsyth County Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Dime,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Dime,Virginia,Spotsylvania County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Life is Funny,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Life is Funny,Florida,Escambia County Public Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Life is Funny,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Life is Funny,Florida,St. John's County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Life is Funny,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, E. R.",Life is Funny,Utah,Washington County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Frank, Marjorie",The Children's Christmas Pageant,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Franklin, Tee",Bingo Love #1,Florida,Escambia County Public Schools,Banned pending investigation,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Franklin, Tee",Bingo Love #1,Missouri,Rockwood School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Frasier, Crystal",Cheer Up: Love and Pompoms,Florida,Clay County School District,Banned pending investigation,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Freitas, Donna",The Big Questions Book of Sex and Consent,Texas,Frisco Independent School District,Banned in libraries,2022,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"French, Gillian",Grit,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"French, Gillian",Grit,Florida,Escambia County Public Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"French, Gillian",Grit,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"French, Gillian",Grit,South Carolina,Beaufort County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"French, Vivian",The Story of Christmas (VF),Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Friedman, Lauri S.",Gay Marriage (LSF),Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Friend, Natasha",Lush,Florida,Escambia County Public Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Fujiwara, Hiro",Maid Sama,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Funk, Mason",The Book of Pride: LGBTQ Heroes Who Changed the World,Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"G., Mady",A Quick & Easy Guide to Queer & Trans Identities,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Gabaldon, Diana",Outlander,Florida,Clay County School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Romance series includes explicit sexual content.
"Gabaldon, Diana",Outlander,Florida,Collier County Public Schools,Banned in libraries,2022,Sexuality / Sex Education,medium,Romance series includes explicit sexual content.
"Gabaldon, Diana",Outlander,Florida,Duval County Public Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Romance series includes explicit sexual content.
"Gabaldon, Diana",Outlander,Florida,Marion County Public Schools,Banned pending investigation,2022,Sexuality / Sex Education,medium,Romance series includes explicit sexual content.
"Gabaldon, Diana",Outlander,Florida,Okaloosa County Schools District,Banned pending investigation,2022,Sexuality / Sex Education,medium,Romance series includes explicit sexual content.
"Gabaldon, Diana",Outlander,Pennsylvania,Pleasant Valley School District,Banned pending investigation,2022,Sexuality / Sex Education,medium,Romance series includes explicit sexual content.
"Gaiman, Neil",American Gods,Michigan,Rapid River Public Schools,Banned in classrooms,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Gaiman, Neil",American Gods,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Gaiman, Neil","American Gods, Vol. 1: Shadows",Missouri,Kirkwood School District,Banned in libraries and classrooms,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Gaiman, Neil","American Gods, Vol. 2: My Ainsel",Missouri,Kirkwood School District,Banned in libraries and classrooms,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Gaiman, Neil",Anansi Boys,Texas,Frisco Independent School District,Banned pending investigation,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Gaiman, Neil",The Facts in the Case of the Departure of Miss Finch,Florida,Escambia County Public Schools,Banned pending investigation,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Gaiman, Neil",The Ocean at the End of the Lane,Texas,Frisco Independent School District,Banned pending investigation,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Gallavotti, Barbara",The Human Body in Action,Missouri,Kirkwood School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Garber, Romina",Lobizona,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"García, Cristina",Dreaming in Cuban,Florida,Duval County Public Schools,Banned in libraries and classrooms,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"García, Cristina",Dreaming in Cuban,Idaho,Kuna School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"García, Cristina",Dreaming in Cuban,North Carolina,Pender County Schools,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"García, Cristina",Dreaming in Cuban,Pennsylvania,Pleasant Valley School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"García, Cristina",Dreaming in Cuban,Utah,Granite School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"García, Cristina",Dreaming in Cuban,Utah,Washington County School District,Banned in libraries and classrooms,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Garcia, Kami",Broken Beautiful Hearts,Texas,Frisco Independent School District,Banned in libraries,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Garvin, Jeff",Symptoms of Being Human,Texas,Texarkana Independent School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gates, Henry L.",And Still I Rise: Black America Since MLK,Texas,Texarkana Independent School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Gaughen, A. C.",Imprison the Sky,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gay, Roxane",Not That Bad: Dispatches from Rape Culture,Florida,Clay County School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Gay, Roxane",Not That Bad: Dispatches from Rape Culture,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Gay, Roxane",The Sacrifice of Darkness,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Gay, Roxane",The Sacrifice of Darkness,Missouri,Rockwood School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Gay, Roxane",The Sacrifice of Darkness,Missouri,Wentzville School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Gemeinhart, Dan",The Remarkable Journey of Coyote Sunrise,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gendry-Kim, Keum Suk",Grass,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gephart, Donna",Lily and Dunkin,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gephart, Donna",Lily and Dunkin,Florida,School District of Manatee County,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gephart, Donna",Lily and Dunkin,Florida,The School District of Palm Beach County,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gephart, Donna",Lily and Dunkin,South Carolina,Horry County Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gephart, Donna",Lily and Dunkin,Texas,Lake Travis Independent School District,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gewirtz, Adina Rishe",Blue Window,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Giles, Gail",Girls Like Us (2015),Texas,Keller Independent School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gino, Alex",Melissa (George),Florida,Broward County Public Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Florida,Escambia County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Florida,School District of Hamilton County,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Florida,The School District of Palm Beach County,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Nebraska,Plattsmouth Community Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),North Carolina,Pender County Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Pennsylvania,Pleasant Valley School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),South Carolina,Horry County Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Texas,Keller Independent School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Melissa (George),Texas,Texarkana Independent School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Rick,Florida,The School District of Palm Beach County,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Gino, Alex",Rick,Texas,Lake Travis Independent School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Glasgow, Kathleen",Girl in Pieces,Florida,Clay County School District,Banned pending investigation,2022,Mental Health,high,Mental health struggles are central.
"Glasgow, Kathleen",Girl in Pieces,Florida,Escambia County Public Schools,Banned pending investigation,2022,Mental Health,high,Mental health struggles are central.
"Glasgow, Kathleen",Girl in Pieces,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Mental Health,high,Mental health struggles are central.
"Glines, Abbi",Making a Play,Florida,Clay County School District,Banned pending investigation,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Glines, Abbi",The Vincent Boys,Florida,Collier County Public Schools,Banned in libraries,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Goff, Robert",The Essential Salvador Dali,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Goffin, Josse",Silent Christmas,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Goldin, Barbara Diamond",Journeys with Elijah: Eight Tales of the Prophet,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gonzales, Kathryn","Trans+: Love, Sex, Romance, and Being You",Virginia,Spotsylvania County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"González, Borja",A Gift for a Ghost,Missouri,Wentzville School District,Banned pending investigation,2022,Violence / Trauma,low,Violent or scary content suggested by title.
"Gonzalez, Christina Diaz",Concealed,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"González, Rigoberto",Antonio's Card/La tarjeta de Antonio,Texas,Texarkana Independent School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gorman, Amanda",The Hill We Climb: An Inaugural Poem for the Country,Florida,Miami-Dade Public Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gottfred, B. T.",Forever for a Year,South Carolina,Beaufort County School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Gottfred, B. T.",Forever for a Year,Texas,Keller Independent School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Gottfred, B. T.",The Handsome Girl & Her Beautiful Boy,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Gottfred, B. T.",The Handsome Girl & Her Beautiful Boy,Texas,Conroe Independent School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Gottfred, B. T.",The Handsome Girl & Her Beautiful Boy,Utah,Granite School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Gottfred, B. T.",The Nerdy and the Dirty,Florida,St. John's County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gottfred, B. T.",The Nerdy and the Dirty,Texas,Keller Independent School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gottlieb, Iris",Seeing Gender: An Illustrated Guide to Identity and Expression,Virginia,Loudoun County Public Schools,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Gould, Courtney",Dead and the Dark,Texas,Frisco Independent School District,Banned in libraries,2022,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Gouveia, Georgette",The Essential Mary Cassatt,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gratz, Alan",Ban This Book,Florida,Clay County School District,Banned pending investigation,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gratz, Alan",Code of Honor,Texas,Frisco Independent School District,Banned in libraries,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Gratz, Alan",Ground Zero,Florida,Clay County School District,Banned pending investigation,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Gratz, Alan",Ground Zero,Florida,Escambia County Public Schools,Banned pending investigation,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Gratz, Alan",Ground Zero,Florida,School District of Hamilton County,Banned in libraries and classrooms,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Gratz, Alan",Two Degrees,Pennsylvania,Kutztown School District,Banned in classrooms,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Gravett, Paul","1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga",Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gray, Mila",Come Back to Me,Kansas,Gardner Edgerton School District 231,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gray, Mila",Run Away With Me,Kansas,Gardner Edgerton School District 231,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gray, Mila",Stay with Me,Kansas,Gardner Edgerton School District 231,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Graziadei, A. L.",Icebreaker,Florida,Clay County School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Green, John",Looking for Alaska,Florida,Clay County School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Florida,Escambia County Public Schools,Banned pending investigation,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Florida,Flagler Schools,Banned in libraries,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Florida,Lake County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Florida,School District of Hamilton County,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Florida,School District of Osceola County,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Florida,Volusia County Schools,Banned in libraries,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Idaho,Kuna School District,Banned pending investigation,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Michigan,Belding Area Schools,Banned in libraries,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Michigan,Chippewa Valley Schools,Banned in libraries,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Nebraska,Plattsmouth Community Schools,Banned pending investigation,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,New York,Mahopac Central School District,Banned in libraries,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,North Carolina,Catawba County Schools,Banned in libraries,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,North Carolina,Pender County Schools,Banned pending investigation,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,North Carolina,Wilkes County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,North Dakota,Williston Basin School District #7,Banned pending investigation,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Oregon,Canby Public School District,Banned pending investigation,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Pennsylvania,Penncrest School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,South Carolina,Beaufort County School District,Banned in libraries,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Utah,Davis School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Utah,Wasatch School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Utah,Washington County School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Virginia,Hanover County Public Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Virginia,Spotsylvania County Public Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",Looking for Alaska,Wyoming,Park County School District #1,Banned pending investigation,2022,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Green, John",The Fault in Our Stars,Florida,Clay County School District,Banned pending investigation,2022,Mental Health,medium,Author/work often centers teen mental health.
"Green, John",Turtles All the Way Down,Texas,Frisco Independent School District,Banned in libraries,2022,Mental Health,high,Mental health struggles are central.
"Green, John","Will Grayson, Will Grayson",Texas,Texarkana Independent School District,Banned pending investigation,2022,Mental Health,medium,Author/work often centers teen mental health.
"Green, Katie",Lighter Than My Shadow,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Green, Katie",Lighter Than My Shadow,Missouri,Raytown Quality Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Green, Katie",Lighter Than My Shadow,Missouri,Rockwood School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Green, Katie",Lighter Than My Shadow,Missouri,Webster Groves School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Green, Laci","Sex Plus: Learning, Loving, and Enjoying Your Body",Missouri,Rockwood School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Green, Laci","Sex Plus: Learning, Loving, and Enjoying Your Body",North Carolina,Charlotte-Mecklenburg Schools,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Green, Tim",Home Run,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
